Recall@1,Recall@2,Recall@3,Recall@4,Recall@5,Recall@6,Recall@7,Recall@8,Recall@9,Recall@10,Recall@11,Recall@12,Recall@13,Recall@14,Recall@15,Recall@16,Recall@17,Recall@18,Recall@19,Recall@20,Recall@21,Recall@22,Recall@23,Recall@24,Recall@25,Recall@26,Recall@27,Recall@28,Recall@29,Recall@30,Recall@31,Recall@32,Recall@33,Recall@34,Recall@35,Recall@36,Recall@37,Recall@38,Recall@39,Recall@40,Recall@41,Recall@42,Recall@43,Recall@44,Recall@45,Recall@46,Recall@47,Recall@48,Recall@49,Recall@50,Recall@51,Recall@52,Recall@53,Recall@54,Recall@55,Recall@56,Recall@57,Recall@58,Recall@59,Recall@60,Recall@61,Recall@62,Recall@63,Recall@64,Recall@65,Recall@66,Recall@67,Recall@68,Recall@69,Recall@70,Recall@71,Recall@72,Recall@73,Recall@74,Recall@75,Recall@76,Recall@77,Recall@78,Recall@79,Recall@80,Recall@81,Recall@82,Recall@83,Recall@84,Recall@85,Recall@86,Recall@87,Recall@88,Recall@89,Recall@90,Recall@91,Recall@92,Recall@93,Recall@94,Recall@95,Recall@96,Recall@97,Recall@98,Recall@99,Recall@100
6474,8869,10376,11517,12459,13205,13856,14429,14931,15363,15793,16151,16500,16825,17134,17373,17634,17867,18090,18299,18515,18700,18893,19056,19231,19392,19531,19680,19839,19976,20084,20216,20333,20440,20546,20643,20753,20861,20978,21080,21171,21270,21353,21429,21509,21582,21663,21726,21800,21873,21934,22018,22076,22144,22208,22270,22330,22392,22451,22496,22549,22594,22643,22694,22745,22801,22845,22894,22929,22963,23000,23033,23070,23110,23149,23182,23212,23239,23263,23301,23330,23368,23395,23425,23451,23484,23511,23539,23568,23597,23620,23641,23664,23681,23702,23721,23738,23762,23783,23792
25.881506,35.456146,41.48077,46.042217,49.80811,52.790436,55.39298,57.683697,59.690575,61.417606,63.136642,64.56784,65.96306,67.26234,68.49764,69.45311,70.49652,71.428,72.3195,73.15504,74.01855,74.75813,75.5297,76.181335,76.88094,77.52459,78.08028,78.67594,79.311584,79.859276,80.29104,80.81874,81.286476,81.71424,82.138,82.52579,82.96554,83.3973,83.865036,84.272804,84.636604,85.03238,85.3642,85.66802,85.98785,86.279686,86.6035,86.85536,87.15119,87.44303,87.6869,88.022705,88.25458,88.52643,88.78228,89.03014,89.27001,89.51787,89.75374,89.93364,90.145515,90.32542,90.52131,90.7252,90.92908,91.152954,91.32886,91.52475,91.664665,91.80059,91.94851,92.08044,92.228355,92.38826,92.544174,92.6761,92.796036,92.90398,92.99992,93.15183,93.26777,93.419685,93.527626,93.64756,93.751495,93.88342,93.99136,94.1033,94.21924,94.335175,94.427124,94.51107,94.60302,94.67098,94.75494,94.830894,94.89886,94.994804,95.07876,95.11474
