Recall@1,Recall@2,Recall@3,Recall@4,Recall@5,Recall@6,Recall@7,Recall@8,Recall@9,Recall@10,Recall@11,Recall@12,Recall@13,Recall@14,Recall@15,Recall@16,Recall@17,Recall@18,Recall@19,Recall@20,Recall@21,Recall@22,Recall@23,Recall@24,Recall@25,Recall@26,Recall@27,Recall@28,Recall@29,Recall@30,Recall@31,Recall@32,Recall@33,Recall@34,Recall@35,Recall@36,Recall@37,Recall@38,Recall@39,Recall@40,Recall@41,Recall@42,Recall@43,Recall@44,Recall@45,Recall@46,Recall@47,Recall@48,Recall@49,Recall@50,Recall@51,Recall@52,Recall@53,Recall@54,Recall@55,Recall@56,Recall@57,Recall@58,Recall@59,Recall@60,Recall@61,Recall@62,Recall@63,Recall@64,Recall@65,Recall@66,Recall@67,Recall@68,Recall@69,Recall@70,Recall@71,Recall@72,Recall@73,Recall@74,Recall@75,Recall@76,Recall@77,Recall@78,Recall@79,Recall@80,Recall@81,Recall@82,Recall@83,Recall@84,Recall@85,Recall@86,Recall@87,Recall@88,Recall@89,Recall@90,Recall@91,Recall@92,Recall@93,Recall@94,Recall@95,Recall@96,Recall@97,Recall@98,Recall@99,Recall@100
4524,6466,7738,8735,9534,10253,10888,11431,11910,12363,12746,13145,13494,13789,14081,14356,14599,14862,15116,15342,15599,15800,16008,16195,16382,16568,16720,16868,17037,17181,17331,17487,17616,17742,17855,17990,18092,18212,18334,18434,18565,18650,18740,18832,18931,19019,19109,19200,19286,19372,19436,19531,19605,19691,19769,19850,19923,19994,20067,20143,20217,20285,20361,20444,20513,20572,20628,20696,20760,20824,20876,20941,20989,21056,21105,21168,21215,21268,21327,21370,21407,21454,21490,21534,21571,21605,21662,21711,21756,21802,21836,21875,21909,21942,21983,22016,22049,22079,22115,22143
18.085873,25.849524,30.934677,34.920444,38.114655,40.989048,43.527626,45.69841,47.613335,49.424324,50.955463,52.55057,53.94579,55.12513,56.292477,57.39186,58.363316,59.414726,60.43016,61.333652,62.361076,63.164627,63.996162,64.743744,65.491325,66.23491,66.84257,67.434235,68.109856,68.68554,69.2852,69.90885,70.42456,70.92828,71.38003,71.91972,72.3275,72.80723,73.29495,73.69473,74.21844,74.55825,74.918045,75.28584,75.68162,76.033424,76.39322,76.75702,77.10082,77.44463,77.700485,78.08028,78.37611,78.71992,79.031746,79.35556,79.6474,79.93124,80.223076,80.5269,80.82274,81.09459,81.398415,81.73023,82.00607,82.24194,82.46582,82.73766,82.99352,83.24938,83.45726,83.71712,83.90901,84.176865,84.37275,84.62461,84.81251,85.02438,85.260254,85.43216,85.58008,85.76797,85.91189,86.08779,86.23571,86.371635,86.5995,86.795395,86.975296,87.15919,87.29511,87.45103,87.58695,87.71888,87.88278,88.01471,88.14664,88.26657,88.41049,88.52243
