CPU (%):
(0.000, 0.000)
(0.205, 24.400)
(0.409, 53.700)
(0.614, 29.300)
(0.819, 307.300)
(1.024, 58.600)
(1.229, 68.300)
(1.433, 53.700)
(1.638, 53.800)
(1.843, 53.600)
(2.048, 68.400)
(2.257, 81.400)
(2.462, 268.500)
(2.666, 68.300)
(2.872, 73.200)
(3.077, 272.800)
(3.281, 244.400)
(3.490, 52.700)
(3.701, 71.200)
(3.907, 92.300)
(4.112, 97.600)
(4.317, 29.300)
(4.527, 0.000)
(4.733, 0.000)
(4.939, 0.000)
(5.145, 0.000)
(5.351, 0.000)
(5.563, 0.000)
(5.774, 0.000)
(5.985, 0.000)
(6.196, 0.000)
(6.407, 0.000)
(6.619, 0.000)
(6.833, 0.000)
(7.044, 0.000)
(7.249, 0.000)
(7.460, 0.000)
(7.666, 0.000)
(7.877, 0.000)
(8.088, 0.000)
(8.293, 0.000)
(8.499, 121.400)
(8.704, 58.600)
(8.915, 52.300)
(9.123, 52.800)
(9.332, 71.800)
(9.541, 105.300)
(9.746, 136.400)
(9.954, 163.300)
(10.159, 151.400)
(10.364, 121.900)
(10.574, 142.700)
(10.779, 136.400)
(10.988, 182.300)
(11.193, 126.800)
(11.401, 148.900)
(11.606, 131.500)
(11.813, 130.400)
(12.020, 164.400)
(12.228, 139.700)
(12.436, 144.100)
(12.653, 161.500)
(12.867, 121.300)
(13.072, 161.000)
(13.277, 122.200)
(13.485, 158.500)
(13.691, 145.700)
(13.895, 161.300)
(14.108, 141.100)
(14.318, 157.000)
(14.528, 133.100)
(14.739, 128.100)
(14.945, 155.700)
(15.151, 150.200)
(15.366, 148.600)
(15.578, 123.200)
(15.788, 137.800)
(16.000, 150.900)
(16.212, 122.900)
(16.420, 167.800)
(16.632, 122.600)
(16.838, 160.900)
(17.047, 128.800)
(17.255, 153.800)
(17.461, 175.300)
(17.666, 126.400)
(17.873, 174.300)
(18.084, 142.000)
(18.291, 135.500)
(18.504, 112.200)
(18.710, 141.000)
(18.920, 138.000)
(19.142, 167.000)
(19.348, 145.400)
(19.554, 155.400)
(19.759, 136.600)
(19.964, 131.100)
(20.172, 159.300)
(20.383, 108.900)
(20.600, 152.000)
(20.810, 133.600)
(21.020, 152.200)
(21.231, 142.600)
(21.440, 133.400)
(21.651, 133.000)
(21.860, 148.500)
(22.065, 122.000)
(22.275, 218.600)
(22.480, 160.900)
(22.685, 117.100)
(22.895, 128.300)
(23.106, 128.400)
(23.322, 166.300)
(23.527, 112.200)
(23.732, 141.600)
(23.937, 131.400)
(24.146, 172.800)
(24.351, 131.600)
(24.559, 144.000)
(24.768, 196.100)
(24.974, 145.900)
(25.179, 141.100)
(25.385, 204.400)
(25.591, 131.100)
(25.797, 164.700)
(26.003, 136.400)
(26.207, 151.300)
(26.418, 161.600)
(26.623, 121.900)
(26.828, 165.600)
(27.039, 137.500)
(27.250, 123.200)
(27.460, 191.000)
(27.666, 116.200)
(27.874, 148.800)
(28.080, 141.100)
(28.285, 126.900)
(28.495, 152.000)
(28.700, 131.600)
(28.906, 136.500)
(29.111, 131.600)
(29.319, 149.000)
(29.524, 121.800)
(29.730, 141.100)
(29.935, 151.300)
(30.143, 129.300)
(30.349, 126.300)
(30.557, 134.900)
(30.761, 122.400)
(30.965, 151.800)
(31.170, 126.800)
(31.375, 117.300)
(31.584, 153.200)
(31.794, 133.400)
(31.999, 170.200)
(32.204, 132.000)
(32.409, 132.000)
(32.619, 142.300)
(32.824, 136.700)
(33.031, 115.900)
(33.239, 134.400)
(33.447, 144.500)
(33.658, 137.600)
(33.866, 134.500)
(34.072, 121.400)
(34.279, 159.600)
(34.484, 131.800)
(34.694, 142.700)
(34.900, 145.800)
(35.108, 129.700)
(35.314, 179.800)
(35.522, 134.300)
(35.730, 153.600)
(35.940, 171.800)
(36.146, 141.100)
(36.351, 141.300)
(36.562, 160.600)
(36.773, 109.400)
(36.986, 154.600)
(37.194, 144.100)
(37.408, 154.600)
(37.614, 131.300)
(37.824, 133.100)
(38.033, 124.100)
(38.244, 171.100)
(38.453, 162.300)
(38.664, 132.900)
(38.879, 167.400)
(39.089, 109.400)
(39.295, 145.700)
(39.506, 118.800)
(39.716, 152.500)
(39.921, 131.500)
(40.133, 169.800)
(40.339, 136.000)
(40.544, 121.800)
(40.752, 173.200)
(40.957, 146.200)
(41.162, 165.500)
(41.368, 121.800)
(41.573, 136.300)
(41.778, 121.800)
(41.984, 146.200)
(42.189, 146.100)
(42.395, 126.500)
(42.606, 165.800)
(42.811, 126.800)
(43.019, 144.100)
(43.226, 125.400)
(43.435, 162.700)
