Batch size,Mean query time (s),Query time 95% confidence interval (s)
1,1.7288829492,0.0184022875637139
2,1.6031477208,0.0165926491969462
4,1.5230589416,0.0166006152688253
8,1.4221144064,0.0195358120721364
16,1.5081433396,0.0166005242876673
32,1.5268164,0.0196059068562579
64,1.5970180184,0.0231890020822808
