timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 15:12:54.330, 0, 7
2023/04/19 15:12:54.531, 0, 7
2023/04/19 15:12:54.732, 0, 7
2023/04/19 15:12:54.933, 0, 7
2023/04/19 15:12:55.134, 0, 7
2023/04/19 15:12:55.335, 0, 7
2023/04/19 15:12:55.537, 0, 7
2023/04/19 15:12:55.737, 0, 7
2023/04/19 15:12:55.939, 0, 7
2023/04/19 15:12:56.140, 0, 7
2023/04/19 15:12:56.341, 0, 7
2023/04/19 15:12:56.541, 0, 7
2023/04/19 15:12:56.742, 0, 7
2023/04/19 15:12:56.943, 0, 7
2023/04/19 15:12:57.144, 0, 10
2023/04/19 15:12:57.345, 0, 10
2023/04/19 15:12:57.546, 0, 10
2023/04/19 15:12:57.747, 0, 10
2023/04/19 15:12:57.948, 0, 10
2023/04/19 15:12:58.149, 0, 10
2023/04/19 15:12:58.350, 0, 10
2023/04/19 15:12:58.551, 0, 10
2023/04/19 15:12:58.752, 0, 10
2023/04/19 15:12:58.953, 0, 10
2023/04/19 15:12:59.154, 0, 10
2023/04/19 15:12:59.355, 0, 10
2023/04/19 15:12:59.556, 0, 10
2023/04/19 15:12:59.757, 0, 10
2023/04/19 15:12:59.958, 0, 10
2023/04/19 15:13:00.159, 0, 10
2023/04/19 15:13:00.360, 0, 10
2023/04/19 15:13:00.561, 0, 10
2023/04/19 15:13:00.762, 0, 10
2023/04/19 15:13:00.963, 0, 10
2023/04/19 15:13:01.164, 0, 10
2023/04/19 15:13:01.365, 0, 10
2023/04/19 15:13:01.566, 0, 10
2023/04/19 15:13:01.767, 0, 10
2023/04/19 15:13:01.968, 0, 10
2023/04/19 15:13:02.169, 0, 10
2023/04/19 15:13:02.371, 0, 10
2023/04/19 15:13:02.572, 0, 10
2023/04/19 15:13:02.773, 0, 10
2023/04/19 15:13:02.974, 0, 10
2023/04/19 15:13:03.175, 0, 10
2023/04/19 15:13:03.376, 0, 10
2023/04/19 15:13:03.577, 0, 10
2023/04/19 15:13:03.778, 0, 10
2023/04/19 15:13:03.979, 0, 10
2023/04/19 15:13:04.180, 0, 10
2023/04/19 15:13:04.381, 0, 10
2023/04/19 15:13:04.582, 0, 10
2023/04/19 15:13:04.783, 0, 10
2023/04/19 15:13:04.984, 0, 10
2023/04/19 15:13:05.185, 0, 10
2023/04/19 15:13:05.386, 0, 10
2023/04/19 15:13:05.588, 0, 10
2023/04/19 15:13:05.789, 0, 10
2023/04/19 15:13:05.990, 0, 10
2023/04/19 15:13:06.192, 0, 10
2023/04/19 15:13:06.393, 0, 10
2023/04/19 15:13:06.595, 0, 10
2023/04/19 15:13:06.796, 0, 10
2023/04/19 15:13:06.997, 0, 10
2023/04/19 15:13:07.198, 0, 10
2023/04/19 15:13:07.400, 0, 10
2023/04/19 15:13:07.601, 0, 10
2023/04/19 15:13:07.802, 0, 10
2023/04/19 15:13:08.003, 0, 20
2023/04/19 15:13:08.207, 0, 568
2023/04/19 15:13:08.408, 0, 632
2023/04/19 15:13:08.609, 3, 692
2023/04/19 15:13:08.809, 3, 750
2023/04/19 15:13:09.010, 3, 844
2023/04/19 15:13:09.211, 3, 904
2023/04/19 15:13:09.412, 3, 976
2023/04/19 15:13:09.612, 15, 1352
2023/04/19 15:13:09.813, 15, 1424
2023/04/19 15:13:10.014, 15, 1530
2023/04/19 15:13:10.215, 15, 1638
2023/04/19 15:13:10.415, 15, 1748
2023/04/19 15:13:10.616, 12, 1914
2023/04/19 15:13:10.816, 12, 1930
2023/04/19 15:13:11.017, 12, 1968
2023/04/19 15:13:11.218, 12, 1980
2023/04/19 15:13:11.419, 12, 2018
2023/04/19 15:13:11.619, 49, 2062
2023/04/19 15:13:11.820, 49, 2128
2023/04/19 15:13:12.021, 49, 2160
2023/04/19 15:13:12.221, 49, 2160
2023/04/19 15:13:12.422, 49, 2160
2023/04/19 15:13:12.623, 71, 2160
2023/04/19 15:13:12.823, 71, 2162
2023/04/19 15:13:13.024, 71, 2162
2023/04/19 15:13:13.225, 71, 2170
2023/04/19 15:13:13.425, 71, 2170
2023/04/19 15:13:13.627, 93, 2170
2023/04/19 15:13:13.828, 93, 2170
2023/04/19 15:13:14.029, 93, 2170
2023/04/19 15:13:14.229, 93, 2170
2023/04/19 15:13:14.431, 93, 2170
2023/04/19 15:13:14.632, 93, 2170
2023/04/19 15:13:14.834, 93, 2170
2023/04/19 15:13:15.035, 93, 2170
2023/04/19 15:13:15.236, 93, 2170
2023/04/19 15:13:15.437, 93, 2170
2023/04/19 15:13:15.637, 92, 2170
2023/04/19 15:13:15.838, 92, 2170
2023/04/19 15:13:16.039, 92, 2170
2023/04/19 15:13:16.240, 92, 2170
2023/04/19 15:13:16.441, 92, 2170
2023/04/19 15:13:16.641, 90, 2170
2023/04/19 15:13:16.842, 90, 2170
2023/04/19 15:13:17.043, 90, 2170
2023/04/19 15:13:17.243, 90, 2170
2023/04/19 15:13:17.444, 90, 2170
2023/04/19 15:13:17.644, 89, 2170
2023/04/19 15:13:17.845, 89, 2170
2023/04/19 15:13:18.046, 89, 2170
2023/04/19 15:13:18.246, 89, 2170
2023/04/19 15:13:18.448, 89, 2170
2023/04/19 15:13:18.648, 91, 2170
2023/04/19 15:13:18.850, 91, 2170
2023/04/19 15:13:19.051, 91, 2170
2023/04/19 15:13:19.252, 91, 2170
2023/04/19 15:13:19.453, 91, 2170
2023/04/19 15:13:19.654, 91, 2170
2023/04/19 15:13:19.856, 91, 2170
2023/04/19 15:13:20.058, 91, 2170
2023/04/19 15:13:20.259, 91, 2170
2023/04/19 15:13:20.461, 91, 2170
2023/04/19 15:13:20.662, 92, 2170
2023/04/19 15:13:20.864, 92, 2170
2023/04/19 15:13:21.065, 92, 2170
2023/04/19 15:13:21.265, 92, 2170
2023/04/19 15:13:21.466, 92, 2170
2023/04/19 15:13:21.667, 91, 2170
2023/04/19 15:13:21.868, 91, 2170
2023/04/19 15:13:22.068, 91, 2170
2023/04/19 15:13:22.269, 91, 2170
2023/04/19 15:13:22.470, 91, 2170
2023/04/19 15:13:22.670, 83, 2170
2023/04/19 15:13:22.871, 83, 2170
2023/04/19 15:13:23.072, 83, 2170
2023/04/19 15:13:23.272, 83, 2170
2023/04/19 15:13:23.473, 83, 2170
2023/04/19 15:13:23.674, 82, 2170
2023/04/19 15:13:23.874, 82, 2170
2023/04/19 15:13:24.075, 82, 2170
2023/04/19 15:13:24.276, 82, 2170
2023/04/19 15:13:24.476, 82, 2170
2023/04/19 15:13:24.677, 89, 2170
2023/04/19 15:13:24.878, 89, 2170
2023/04/19 15:13:25.079, 89, 2170
2023/04/19 15:13:25.280, 89, 2170
2023/04/19 15:13:25.480, 89, 2170
2023/04/19 15:13:25.682, 91, 2170
2023/04/19 15:13:25.883, 91, 2170
2023/04/19 15:13:26.083, 91, 2170
2023/04/19 15:13:26.284, 91, 2170
2023/04/19 15:13:26.485, 91, 2170
2023/04/19 15:13:26.685, 95, 2170
2023/04/19 15:13:26.886, 95, 2170
2023/04/19 15:13:27.087, 95, 2170
2023/04/19 15:13:27.287, 95, 2170
2023/04/19 15:13:27.488, 95, 2170
2023/04/19 15:13:27.689, 93, 2170
2023/04/19 15:13:27.889, 93, 2170
2023/04/19 15:13:28.090, 93, 2170
2023/04/19 15:13:28.290, 93, 2170
2023/04/19 15:13:28.491, 93, 2170
2023/04/19 15:13:28.692, 85, 2170
2023/04/19 15:13:28.894, 85, 2170
2023/04/19 15:13:29.095, 85, 2170
2023/04/19 15:13:29.296, 85, 2170
2023/04/19 15:13:29.496, 85, 2170
2023/04/19 15:13:29.698, 94, 2170
2023/04/19 15:13:29.898, 94, 2170
2023/04/19 15:13:30.099, 94, 2170
2023/04/19 15:13:30.300, 94, 2170
2023/04/19 15:13:30.500, 94, 2170
2023/04/19 15:13:30.701, 90, 2170
2023/04/19 15:13:30.902, 90, 2170
2023/04/19 15:13:31.102, 90, 2170
2023/04/19 15:13:31.303, 90, 2170
2023/04/19 15:13:31.504, 90, 2170
2023/04/19 15:13:31.705, 90, 2170
2023/04/19 15:13:31.905, 94, 2170
2023/04/19 15:13:32.106, 94, 2170
2023/04/19 15:13:32.307, 94, 2170
2023/04/19 15:13:32.507, 94, 2170
2023/04/19 15:13:32.708, 94, 2170
2023/04/19 15:13:32.909, 93, 2170
2023/04/19 15:13:33.109, 93, 2170
2023/04/19 15:13:33.310, 93, 2170
2023/04/19 15:13:33.511, 93, 2170
2023/04/19 15:13:33.713, 93, 2170
2023/04/19 15:13:33.914, 78, 2170
2023/04/19 15:13:34.115, 78, 2170
2023/04/19 15:13:34.316, 78, 2170
2023/04/19 15:13:34.517, 78, 2170
2023/04/19 15:13:34.717, 78, 2170
2023/04/19 15:13:34.918, 89, 2170
2023/04/19 15:13:35.118, 89, 2170
2023/04/19 15:13:35.320, 89, 2170
2023/04/19 15:13:35.521, 89, 2170
2023/04/19 15:13:35.721, 89, 2170
2023/04/19 15:13:35.922, 93, 2170
2023/04/19 15:13:36.122, 93, 2170
