Batch size,Indexing time (s),Index size (MiB)
1,533.323,165.096
1,486.515,165.421
1,466.535,165.525
2,447.911,165.742
2,427.364,165.593
2,440.589,165.733
4,385.021,165.902
4,382.455,165.904
4,382.189,166.020
8,366.700,166.046
8,366.265,166.064
8,365.840,166.020
16,350.681,166.119
16,349.782,165.989
16,349.545,166.191
32,319.247,166.272
32,317.872,166.299
32,317.871,166.322
64,348.353,166.004
64,347.710,166.328
64,347.814,165.915
