timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 14:38:32.103, 92, 2322
2023/04/19 14:38:32.304, 92, 2322
2023/04/19 14:38:32.504, 92, 2322
2023/04/19 14:38:32.705, 92, 2322
2023/04/19 14:38:32.906, 92, 2322
2023/04/19 14:38:33.107, 91, 2322
2023/04/19 14:38:33.316, 91, 2322
2023/04/19 14:38:33.517, 91, 2322
2023/04/19 14:38:33.717, 91, 2322
2023/04/19 14:38:33.919, 91, 2322
2023/04/19 14:38:34.121, 93, 2322
2023/04/19 14:38:34.322, 93, 2322
2023/04/19 14:38:34.523, 93, 2322
2023/04/19 14:38:34.724, 93, 2322
2023/04/19 14:38:34.924, 93, 2322
2023/04/19 14:38:35.125, 91, 2322
2023/04/19 14:38:35.325, 91, 2322
2023/04/19 14:38:35.526, 91, 2322
2023/04/19 14:38:35.727, 91, 2322
2023/04/19 14:38:35.928, 91, 2322
2023/04/19 14:38:36.128, 92, 2322
2023/04/19 14:38:36.329, 92, 2322
2023/04/19 14:38:36.530, 92, 2322
2023/04/19 14:38:36.730, 92, 2322
2023/04/19 14:38:36.931, 92, 2322
2023/04/19 14:38:37.133, 91, 2322
2023/04/19 14:38:37.333, 91, 2322
2023/04/19 14:38:37.535, 91, 2322
2023/04/19 14:38:37.736, 91, 2322
2023/04/19 14:38:37.937, 91, 2322
2023/04/19 14:38:38.138, 92, 2322
2023/04/19 14:38:38.340, 92, 2322
2023/04/19 14:38:38.542, 92, 2322
2023/04/19 14:38:38.744, 92, 2322
2023/04/19 14:38:38.945, 92, 2322
2023/04/19 14:38:39.146, 92, 2322
2023/04/19 14:38:39.347, 92, 2322
2023/04/19 14:38:39.548, 92, 2322
2023/04/19 14:38:39.749, 92, 2322
2023/04/19 14:38:39.949, 92, 2322
2023/04/19 14:38:40.150, 92, 2322
2023/04/19 14:38:40.351, 92, 2322
2023/04/19 14:38:40.551, 92, 2322
2023/04/19 14:38:40.752, 92, 2322
2023/04/19 14:38:40.953, 92, 2322
2023/04/19 14:38:41.154, 92, 2322
2023/04/19 14:38:41.354, 92, 2322
2023/04/19 14:38:41.555, 92, 2322
2023/04/19 14:38:41.756, 92, 2322
2023/04/19 14:38:41.958, 92, 2322
2023/04/19 14:38:42.158, 92, 2322
2023/04/19 14:38:42.359, 92, 2322
2023/04/19 14:38:42.561, 92, 2322
2023/04/19 14:38:42.762, 92, 2322
2023/04/19 14:38:42.963, 92, 2322
2023/04/19 14:38:43.163, 91, 2322
2023/04/19 14:38:43.364, 91, 2322
2023/04/19 14:38:43.565, 91, 2322
