CPU (%):
(0.000, 0.000)
(0.205, 4.700)
(0.416, 48.700)
(0.621, 83.000)
(0.826, 48.500)
(1.032, 536.000)
(1.238, 71.900)
(1.446, 81.500)
(1.655, 426.500)
(1.861, 147.100)
(2.072, 66.400)
(2.282, 61.700)
(2.493, 57.000)
(2.704, 71.000)
(2.915, 57.000)
(3.125, 95.600)
(3.335, 99.700)
(3.545, 99.600)
(3.756, 104.500)
(3.967, 94.900)
(4.178, 99.600)
(4.388, 99.700)
(4.599, 99.700)
(4.810, 104.400)
(5.020, 99.700)
(5.231, 99.600)
(5.442, 99.700)
(5.653, 99.700)
(5.863, 94.800)
(6.074, 52.100)
(6.285, 42.700)
(6.496, 52.100)
(6.707, 52.000)
(6.919, 60.600)
(7.133, 82.400)
(7.340, 97.000)
(7.546, 101.900)
(7.752, 96.700)
(7.959, 305.700)
(8.165, 72.600)
(8.371, 58.200)
(8.577, 67.900)
(8.783, 97.100)
(8.989, 101.900)
(9.196, 119.800)
(9.404, 195.100)
(9.609, 57.900)
(9.816, 53.600)
(10.022, 68.200)
(10.227, 97.600)
(10.432, 102.400)
(10.637, 239.600)
(10.846, 105.400)
(11.055, 56.600)
(11.267, 0.000)
(11.478, 0.000)
(11.689, 0.000)
(11.900, 0.000)
(12.112, 0.000)
(12.323, 0.000)
(12.536, 4.700)
(12.747, 0.000)
(12.958, 0.000)
(13.170, 0.000)
(13.381, 0.000)
(13.593, 24.200)
(13.800, 80.100)
(14.012, 75.800)
(14.223, 85.100)
(14.435, 85.400)
(14.645, 90.000)
(14.856, 75.700)
(15.068, 85.100)
(15.279, 121.800)
(15.484, 58.600)
(15.689, 68.400)
(15.894, 71.900)
(16.103, 78.000)
(16.308, 202.000)
(16.521, 81.500)
(16.730, 127.900)
(16.941, 56.800)
(17.152, 109.800)
(17.361, 81.100)
(17.571, 132.600)
(17.782, 145.900)
(17.995, 177.400)
(18.203, 129.000)
(18.412, 177.200)
(18.621, 122.000)
(18.826, 159.900)
(19.032, 121.100)
(19.239, 195.000)
(19.444, 127.200)
(19.648, 121.500)
(19.854, 189.800)
(20.060, 112.200)
(20.265, 175.700)
(20.470, 114.200)
(20.680, 147.100)
(20.891, 189.500)
(21.102, 117.700)
(21.314, 179.900)
(21.525, 115.100)
(21.734, 143.600)
(21.943, 169.900)
(22.154, 118.500)
(22.365, 161.200)
(22.576, 134.500)
(22.784, 160.100)
(22.991, 107.700)
(23.204, 172.000)
(23.413, 162.900)
(23.622, 128.800)
(23.832, 170.400)
(24.043, 123.300)
(24.254, 146.600)
(24.465, 186.400)
(24.674, 121.800)
(24.888, 187.000)
(25.096, 105.500)
(25.305, 151.700)
(25.516, 175.600)
(25.727, 128.900)
(25.936, 160.900)
(26.147, 131.200)
(26.353, 131.300)
(26.559, 209.100)
(26.764, 115.000)
(26.973, 167.900)
(27.182, 129.500)
(27.390, 153.500)
(27.599, 128.600)
(27.809, 203.700)
(28.020, 123.400)
(28.231, 141.400)
(28.443, 187.000)
(28.651, 134.100)
(28.860, 142.900)
(29.070, 191.800)
(29.278, 121.200)
(29.485, 145.800)
(29.690, 134.200)
(29.899, 133.000)
(30.117, 163.000)
(30.326, 137.600)
(30.536, 161.500)
(30.747, 155.800)
(30.959, 127.900)
(31.170, 177.400)
(31.379, 118.600)
(31.589, 201.900)
(31.802, 107.100)
(32.017, 136.500)
(32.222, 204.700)
(32.427, 112.000)
(32.633, 173.700)
(32.846, 172.600)
(33.054, 130.000)
(33.262, 219.400)
(33.467, 130.000)
(33.675, 140.900)
(33.881, 170.100)
(34.086, 107.100)
(34.292, 135.500)
(34.498, 174.800)
(34.704, 131.600)
(34.909, 165.600)
(35.115, 146.100)
(35.320, 136.000)
(35.526, 151.100)
(35.731, 132.400)
(35.943, 175.300)
(36.148, 145.800)
(36.353, 122.000)
(36.558, 198.900)
(36.764, 104.200)
(36.976, 184.200)
(37.187, 161.500)
(37.398, 116.800)
(37.603, 190.000)
(37.809, 143.900)
(38.017, 131.600)
(38.222, 199.200)
(38.433, 119.900)
(38.642, 204.000)
(38.853, 104.400)
(39.063, 161.000)
(39.275, 156.300)
(39.486, 130.600)
(39.700, 146.400)
(39.905, 146.200)
(40.110, 166.000)
(40.315, 125.900)
(40.530, 136.100)
(40.735, 162.900)
(40.944, 142.500)
(41.155, 194.400)
(41.365, 105.500)
(41.574, 177.300)
(41.783, 116.300)
(41.989, 192.900)
(42.202, 123.000)
(42.413, 134.200)
(42.622, 182.200)
(42.830, 121.600)
(43.036, 172.300)
(43.245, 161.300)
(43.455, 143.400)
(43.665, 156.300)
(43.876, 157.900)
(44.085, 156.100)
(44.296, 109.400)
(44.506, 185.700)
(44.716, 126.200)
(44.922, 189.600)
(45.128, 106.900)
(45.334, 145.600)
(45.540, 174.600)
(45.746, 131.800)
(45.951, 209.700)
(46.161, 116.700)
(46.366, 125.800)
(46.573, 155.700)
(46.778, 145.800)
(46.984, 155.800)
(47.189, 134.000)
(47.398, 148.600)
(47.607, 154.900)
(47.814, 140.800)
(48.020, 169.200)
(48.227, 147.100)
(48.437, 123.800)
(48.647, 167.800)
(48.856, 124.600)
(49.064, 172.400)
(49.273, 141.100)
(49.479, 145.800)
(49.684, 131.800)
(49.889, 156.000)
(50.095, 210.800)
(50.303, 121.700)
(50.509, 188.700)
(50.721, 107.000)
(50.926, 199.500)
(51.132, 99.100)
(51.344, 167.700)
(51.552, 111.800)
(51.758, 165.200)
(51.964, 153.900)
(52.172, 150.100)
(52.378, 158.300)
(52.587, 126.400)
(52.793, 171.000)
(53.003, 126.500)
(53.209, 166.200)
(53.414, 121.500)
(53.619, 168.700)
(53.827, 126.500)
(54.032, 194.400)
(54.238, 104.700)
(54.451, 211.500)
(54.656, 104.900)
(54.866, 155.500)
(55.071, 158.300)
(55.280, 133.800)
(55.489, 128.800)
(55.699, 188.700)
(55.911, 114.900)
(56.120, 188.900)
(56.326, 121.800)
(56.531, 128.700)
(56.741, 194.600)
(56.947, 109.100)
(57.158, 170.100)
(57.369, 158.200)
(57.578, 134.300)
(57.786, 148.600)
(57.995, 175.100)
(58.206, 145.700)
(58.412, 132.800)
(58.623, 186.600)
(58.837, 128.000)
(59.048, 121.200)
(59.263, 210.800)
(59.472, 132.700)
(59.683, 165.000)
(59.889, 129.500)
(60.097, 199.000)
(60.308, 115.000)
(60.517, 165.300)
(60.722, 161.000)
